;F2_001CC;F2_002CC;F2_003CC;F2_004CC;F2_006CC;F2_007CC;BL6_11;BL6_12;BL6_13;BL6_14;BL6_15;BL6_16;BL6_17;BL6_18
ENSMUSG00000045382;778;904;771;957;1076;2902;1070;852;578;635;1173;1322;104;972
ENSMUSG00000040170;6107;6189;6710;5474;4072;6632;2716;4312;3282;3515;6033;5690;593;5974
ENSMUSG00000025964;603;489;509;389;291;353;267;373;268;282;295;289;37;259
ENSMUSG00000026110;2533;2938;3161;2327;1504;2675;736;1006;936;856;1353;1229;155;1511
ENSMUSG00000026357;329;312;378;232;135;271;44;192;28;268;81;155;38;145
ENSMUSG00000007659;4460;6331;5590;3308;2044;3987;1995;1833;1560;2169;2112;2277;189;2490
ENSMUSG00000034738;1101;1000;1066;880;675;893;1532;1205;1191;1084;1384;1132;128;1204
ENSMUSG00000027360;107;123;88;60;25;42;260;364;227;224;272;404;35;293
ENSMUSG00000037727;37;74;30;63;163;265;0;0;0;0;0;1;0;1
ENSMUSG00000015090;1161;1289;1228;815;669;584;1737;1362;969;1065;1383;1482;167;986
ENSMUSG00000016255;240;220;209;162;78;156;25;257;26;334;89;202;45;261
ENSMUSG00000074912;346;378;440;411;594;938;376;338;268;247;543;412;71;449
ENSMUSG00000052821;412;621;509;369;201;394;180;194;155;185;180;149;21;133
ENSMUSG00000031431;2460;3994;3315;2834;1166;2779;4220;2675;1777;2909;2241;2894;351;3310
ENSMUSG00000027809;4450;4211;4350;3855;2751;3894;3674;4653;4494;3846;3276;3572;298;3122
ENSMUSG00000027875;903;992;557;692;229;748;1085;1040;865;810;440;728;51;746
ENSMUSG00000027954;2710;2386;3012;2956;3496;6138;2574;2096;1686;1631;3113;3344;280;3124
ENSMUSG00000027684;3513;2919;3344;3309;4118;6383;1623;2055;1657;1454;3149;3004;334;2815
ENSMUSG00000045092;12001;15768;16291;10872;7320;14236;7941;7710;6111;7180;9177;8489;940;10578
ENSMUSG00000028862;1068;1795;1975;1191;421;1029;608;692;462;687;761;862;94;1273
ENSMUSG00000028494;6435;6428;5559;5404;3475;5244;3910;2533;2516;2360;2354;2395;217;2343
ENSMUSG00000038007;7137;8234;9899;7456;3486;8674;2797;3121;2333;2288;3671;3488;385;3545
ENSMUSG00000029372;317;372;291;167;65;254;289;719;91;925;317;673;211;736
ENSMUSG00000006642;305;411;319;229;96;127;472;468;415;494;336;303;36;446
ENSMUSG00000030022;4439;4535;4839;4437;2499;4635;2258;2162;2279;2329;3798;3024;381;3458
ENSMUSG00000045534;4334;5347;5288;3491;1804;3936;2506;2349;2012;2943;2480;2395;271;2904
ENSMUSG00000033024;215;181;220;182;326;453;600;342;240;310;383;380;27;395
ENSMUSG00000030317;8139;9839;11390;7663;4723;9329;5107;4213;3179;5008;5175;4899;387;8707
ENSMUSG00000048489;7704;8474;8460;6576;4474;8246;3855;3034;2341;3404;3654;2868;327;3644
ENSMUSG00000019577;6317;6928;6324;5431;2373;4470;10312;8840;11025;8917;2129;2215;156;1981
ENSMUSG00000051457;116;118;103;74;187;359;82;86;45;51;92;126;16;86
