"","SUM_BL6_11","SUM_BL6_12","SUM_BL6_13","SUM_BL6_14","SUM_BL6_15","SUM_BL6_16","SUM_BL6_17","SUM_BL6_18"
"ENSMUSG00000102628",0,0,0,0,2,0,0,0
"ENSMUSG00000100595",0,0,0,0,0,0,0,0
"ENSMUSG00000097426",0,0,0,0,0,0,0,0
"ENSMUSG00000104478",0,1,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0,0
"ENSMUSG00000102135",4,2,0,0,0,0,0,0
"ENSMUSG00000103282",0,0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0,0
"ENSMUSG00000100764",0,2,1,4,3,10,0,16
"ENSMUSG00000102095",4,0,0,6,2,0,0,2
"ENSMUSG00000102534",0,0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0,0
"ENSMUSG00000100635",0,6,6,0,8,10,0,5
"ENSMUSG00000102213",0,0,0,0,0,0,0,0
"ENSMUSG00000100480",2,0,3,2,11,1,2,9
"ENSMUSG00000089037",0,0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0,0
"ENSMUSG00000100025",0,0,0,0,0,0,0,0
"ENSMUSG00000051285",2251,2497,2320,1964,3525,3409,393,3257
"ENSMUSG00000098201",0,0,0,2,0,2,0,0
"ENSMUSG00000103509",4,15,11,10,27,20,0,16
"ENSMUSG00000048538",19,34,48,30,40,77,5,97
"ENSMUSG00000103709",0,0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0,0
"ENSMUSG00000097797",8,0,0,0,0,3,0,0
"ENSMUSG00000103498",0,0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0,0
"ENSMUSG00000104226",0,2,0,0,0,0,0,0
