"","SUM_F2_001CC","SUM_F2_002CC","SUM_F2_003CC","SUM_F2_004CC","SUM_F2_006CC","SUM_F2_007CC"
"ENSMUSG00000102628",0,4,1,0,0,4
"ENSMUSG00000100595",0,0,0,0,2,0
"ENSMUSG00000097426",0,0,0,0,0,0
"ENSMUSG00000104478",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0
"ENSMUSG00000102135",0,0,0,2,4,0
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0
"ENSMUSG00000100764",1,3,2,2,3,11
"ENSMUSG00000102095",0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0
"ENSMUSG00000100635",0,0,0,1,2,6
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000100480",6,0,0,0,1,10
"ENSMUSG00000089037",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0
"ENSMUSG00000100025",0,2,2,0,0,0
"ENSMUSG00000051285",3554,3698,3299,3085,3179,5245
"ENSMUSG00000098201",0,0,0,0,0,0
"ENSMUSG00000103509",31,28,26,35,17,33
"ENSMUSG00000048538",1,0,0,0,0,1
"ENSMUSG00000103709",0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0
"ENSMUSG00000097797",0,0,0,0,0,3
"ENSMUSG00000103498",0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,0,0,0
"ENSMUSG00000100290",0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0
