"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000027347",64.1269265062477,-1.4897708360402,0.352578049678683,-4.22536467428383,2.38554147000753e-05,0.0475766811758555
"ENSMUSG00000039278",21.8654351893665,4.64187116604988,0.987549017204666,4.70039571219366,2.59657835803509e-06,0.028200244805101
"ENSMUSG00000029219",15.8588415302125,3.08597505584762,0.721659434197517,4.27622076233122,1.90092726590133e-05,0.0475766811758555
"ENSMUSG00000033615",15.6219323292468,4.80184681866499,1.13207910537337,4.24161774196981,2.21914419848609e-05,0.0475766811758555
"ENSMUSG00000029657",8119.52007398662,-0.809131601810851,0.191965281545983,-4.21498926938532,2.49790065676525e-05,0.0475766811758555
"ENSMUSG00000109157",22.1039097945836,-2.35168757788658,0.544423432091707,-4.31959287433911,1.56317313080533e-05,0.0475766811758555
"ENSMUSG00000110982",255.00090130003,-1.20560613958787,0.283133135176693,-4.25808918067996,2.06181700939955e-05,0.0475766811758555
"ENSMUSG00000047061",1779.62143291311,-0.615865145980045,0.136943724447602,-4.49721335142808,6.8849891551442e-06,0.0314726624259952
"ENSMUSG00000090582",125.663487440006,-1.17791597772323,0.254548189380745,-4.62747733774426,3.70146720402971e-06,0.028200244805101
"ENSMUSG00000079017",823.322278880389,0.496724189619788,0.10614747875502,4.6795665374793,2.87482053534347e-06,0.028200244805101
"ENSMUSG00000023484",104.45690011691,2.33941965534551,0.517065327939239,4.52441795830569,6.05619391820499e-06,0.0314726624259952
"ENSMUSG00000092341",37675.7180454722,-0.613346255775938,0.144012372980661,-4.25898305181251,2.05359038234835e-05,0.0475766811758555
