"","SUM_F2_016XB","SUM_F2_017XB","SUM_F2_018XB","SUM_F2_019XB","SUM_F2_020XB","SUM_F2_027XB","SUM_F2_028XB"
"ENSMUSG00000102628",0,0,0,0,1,0,0
"ENSMUSG00000100595",0,0,0,0,0,0,0
"ENSMUSG00000097426",0,0,0,0,0,0,0
"ENSMUSG00000104478",0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,0,0
"ENSMUSG00000101231",0,0,0,0,0,0,0
"ENSMUSG00000102135",0,0,6,1,1,3,0
"ENSMUSG00000103282",0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0
"ENSMUSG00000100764",3,0,17,3,3,5,4
"ENSMUSG00000102095",0,0,0,4,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0
"ENSMUSG00000100635",30,0,8,1,0,18,0
"ENSMUSG00000102213",0,0,0,0,0,0,0
"ENSMUSG00000100480",1,0,11,3,2,3,2
"ENSMUSG00000089037",0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0
"ENSMUSG00000100025",0,0,0,0,2,3,0
"ENSMUSG00000051285",3645,615,4172,3129,2127,4408,3624
"ENSMUSG00000098201",0,0,0,0,0,0,0
"ENSMUSG00000103509",29,11,37,10,1,26,30
"ENSMUSG00000048538",26,0,21,15,18,26,27
"ENSMUSG00000103709",0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0
"ENSMUSG00000097797",3,0,4,0,0,0,6
"ENSMUSG00000103498",0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,0,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,0,0,0,2
"ENSMUSG00000100290",0,0,0,0,0,0,0
"ENSMUSG00000100758",0,0,0,0,0,0,0
"ENSMUSG00000099926",0,0,0,0,0,0,0
"ENSMUSG00000039748",9,2,17,13,11,18,11
"ENSMUSG00000118715",0,0,0,0,0,0,0
"ENSMUSG00000104158",0,0,4,0,0,0,1
"ENSMUSG00000103540",0,0,0,0,0,1,0
"ENSMUSG00000057363",682,72,723,672,396,853,628
"ENSMUSG00000047216",616,66,347,541,254,410,633
"ENSMUSG00000102788",0,0,4,3,0,4,0
"ENSMUSG00000102160",2,0,0,0,0,0,0
"ENSMUSG00000101253",0,0,0,0,0,0,0
"ENSMUSG00000101846",0,0,0,0,0,0,0
"ENSMUSG00000090243",5,1,3,2,1,0,1
"ENSMUSG00000100701",16,2,5,11,1,7,11
"ENSMUSG00000100555",1,0,0,4,0,0,0
"ENSMUSG00000101395",0,0,0,0,0,0,0
"ENSMUSG00000102728",0,0,0,0,0,0,0
"ENSMUSG00000088848",0,0,0,0,0,0,0
"ENSMUSG00002075225",0,0,0,0,0,0,0
"ENSMUSG00000038702",770,144,798,671,389,829,1002
"ENSMUSG00000101875",0,0,1,0,0,0,0
"ENSMUSG00000099732",0,0,0,0,0,0,1
