"","SUM_F2_008YB","SUM_F2_009YB","SUM_F2_010YB","SUM_F2_012YB","SUM_F2_013YB","SUM_F2_022YB","SUM_F2_025YB"
"ENSMUSG00000102628",0,0,0,2,0,2,0
"ENSMUSG00000100595",0,0,0,0,0,0,0
"ENSMUSG00000097426",0,0,0,0,0,2,0
"ENSMUSG00000104478",0,0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0,0
"ENSMUSG00000086053",0,0,0,0,0,2,0
"ENSMUSG00000101231",0,0,0,0,0,0,0
"ENSMUSG00000102135",0,8,2,2,0,0,0
"ENSMUSG00000103282",0,0,0,0,0,0,0
"ENSMUSG00000101097",0,0,0,0,0,0,0
"ENSMUSG00000100764",1,11,5,9,2,8,11
"ENSMUSG00000102095",0,0,0,0,2,0,0
"ENSMUSG00000102534",0,0,0,0,0,0,0
"ENSMUSG00000100831",0,0,0,0,0,0,0
"ENSMUSG00000100884",0,0,0,0,0,0,0
"ENSMUSG00000100635",0,18,4,4,8,2,10
"ENSMUSG00000102213",0,0,0,0,0,0,0
"ENSMUSG00000100480",0,8,5,7,12,0,3
"ENSMUSG00000089037",0,0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0,0
"ENSMUSG00002076531",0,0,0,0,0,0,0
"ENSMUSG00000100025",0,0,2,0,0,4,0
"ENSMUSG00000051285",3992,4506,4298,4726,4636,3860,3868
"ENSMUSG00000098201",0,0,0,0,0,1,0
"ENSMUSG00000103509",25,36,27,33,58,61,36
"ENSMUSG00000048538",55,33,46,39,55,37,31
"ENSMUSG00000103709",0,0,0,0,0,0,0
"ENSMUSG00000077244",0,0,0,0,0,0,0
"ENSMUSG00000102768",0,0,0,0,0,0,0
"ENSMUSG00000097797",2,0,0,0,0,0,2
"ENSMUSG00000103498",0,0,0,0,0,0,0
"ENSMUSG00000103067",0,0,0,0,0,0,0
"ENSMUSG00000102320",0,0,0,0,0,0,0
"ENSMUSG00000104226",0,0,0,0,0,0,0
"ENSMUSG00000103903",0,0,0,0,1,0,0
"ENSMUSG00000103557",0,0,0,0,0,0,0
"ENSMUSG00000026312",0,0,0,0,0,0,0
"ENSMUSG00000100290",0,0,0,0,0,0,0
