^#chr	start	end	Ensembl ID	Gene Name	PeakID	signalValue	Contact	adaptedActivity	scaledContact	intergenicScore	TSS-dist	ABC-Score
1	175926214	175926790	MGP_C57BL6NJ_G0017089	Dpt	1:175926214-175926790	11.11842	6.7708809	0.21499374	14.993294	0.21499374	29241	0.022653648
1	175955962	175956432	MGP_C57BL6NJ_G0017089	Dpt	1:175955962-175956432	3.8703001	45.159397	0.396	100	0.396	0	0.27829825
1	175957663	175958364	MGP_C57BL6NJ_G0017089	Dpt	1:175957663-175958364	7.83462	45.159397	0.8016199	100	0.8016199	1633	0.5633571
1	175968610	175969218	MGP_C57BL6NJ_G0017089	Dpt	1:175968610-175969218	5.91998	18.940868	0.24207597	41.942252	0.24207597	12580	0.071354062
1	136802921	136805230	MGP_C57BL6NJ_G0016835	Cxcr4	1:136802921-136805230	6.3261199	61.518772	1.5318986	100	1.5318986	0	0.85395397
1	136830779	136831776	MGP_C57BL6NJ_G0016835	Cxcr4	1:136830779-136831776	5.1779799	17.645412	0.48510961	28.682972	0.48510961	26363.5	0.077565475
1	10834461	10835630	MGP_C57BL6NJ_G0016231	Slco5a1	1:10834461-10835630	6.9039698	22.60879	0.57216706	54.322107	0.57216706	21558.8	0.18724387
1	10848757	10849016	MGP_C57BL6NJ_G0016231	Slco5a1	1:10848757-10849016	2.6388199	41.573243	0.30971188	99.887971	0.30971188	13823.6	0.20416314
1	10849219	10850950	MGP_C57BL6NJ_G0016231	Slco5a1	1:10849219-10850950	6.9776702	41.61987	0.76079589	100	0.76079589	13856.6	0.48958425
1	182886479	182887391	MGP_C57BL6NJ_G0017151	Ndufs2	1:182886479-182887391	11.52591	13.081	0.077885522	33.631467	0.077885522	22925.25	0.029893637
1	182897370	182897559	MGP_C57BL6NJ_G0017151	Ndufs2	1:182897370-182897559	3.0943501	29.044964	0.05286027	74.675083	0.05286027	12757.25	0.045461102
1	182898575	182898821	MGP_C57BL6NJ_G0017151	Ndufs2	1:182898575-182898821	2.9391601	29.044964	0.050209185	74.675083	0.050209185	11495.25	0.043181106
1	182904397	182904812	MGP_C57BL6NJ_G0017151	Ndufs2	1:182904397-182904812	4.6707101	27.701793	0.088726183	71.221769	0.088726183	7480.75	0.079959435
1	182912704	182913572	MGP_C57BL6NJ_G0017151	Ndufs2	1:182912704-182913572	12.30244	38.895121	0.31829364	100	0.31829364	5351.875	0.36810317
1	182917965	182918336	MGP_C57BL6NJ_G0017151	Ndufs2	1:182917965-182918336	1.88641	34.595912	0.042701549	88.946662	0.042701549	8012.5	0.049102593
1	182919294	182919863	MGP_C57BL6NJ_G0017151	Ndufs2	1:182919294-182919863	2.9056101	34.595912	0.06577258	88.946662	0.06577258	8978.75	0.075632014
1	182936418	182937076	MGP_C57BL6NJ_G0017151	Ndufs2	1:182936418-182937076	6.7470598	14.429351	0.060906044	37.098101	0.060906044	26102.75	0.023165884
1	178662849	178663770	MGP_C57BL6NJ_G0017118	Rxrg	1:178662849-178663770	12.64034	8.8060586	0.22149365	19.221921	0.22149365	294671	0.024264194
1	178948548	178949057	MGP_C57BL6NJ_G0017118	Rxrg	1:178948548-178949057	5.4917998	25.957855	0.73942214	56.660972	0.73942214	9384	0.23877248
1	178958126	178958424	MGP_C57BL6NJ_G0017118	Rxrg	1:178958126-178958424	3.4519899	45.812584	0.63226505	100	0.63226505	17	0.36033543
1	178977384	178977608	MGP_C57BL6NJ_G0017118	Rxrg	1:178977384-178977608	18.06428	11.31897	1.3272879	24.707121	1.3272879	18944	0.18689388
1	178980914	178981399	MGP_C57BL6NJ_G0017118	Rxrg	1:178980914-178981399	5.79563	12.77233	0.38875131	27.879524	0.38875131	22474	0.061768209
1	179009814	179010237	MGP_C57BL6NJ_G0017118	Rxrg	1:179009814-179010237	5.02107	7.5501034	0.21712433	16.480414	0.21712433	51374	0.020393154
1	142319282	142319842	MGP_C57BL6NJ_G0016897	Atp2b4	1:142319282-142319842	10.62956	6.6930487	0.094483959	26.941519	0.094483959	84605.714	0.036315158
1	142347724	142347996	MGP_C57BL6NJ_G0016897	Atp2b4	1:142347724-142347996	5.3348899	7.9501036	0.069116239	32.00154	0.069116239	56451.714	0.040314433
1	142386758	142387482	MGP_C57BL6NJ_G0016897	Atp2b4	1:142386758-142387482	5.4323702	13.222264	0.12972	53.223557	0.12972	25691.857	0.071461749
1	142409789	142410063	MGP_C57BL6NJ_G0016897	Atp2b4	1:142409789-142410063	2.9812601	24.842878	0.11951011	100	0.11951011	25773.714	0.12642531
1	142421861	142422110	MGP_C57BL6NJ_G0016897	Atp2b4	1:142421861-142422110	3.2950799	15.655574	0.0795505	63.018357	0.0795505	30954.571	0.045837406
1	142443869	142444276	MGP_C57BL6NJ_G0016897	Atp2b4	1:142443869-142444276	3.1737499	16.476462	0.092226136	66.322677	0.092226136	40341.429	0.095294535
1	142445343	142446172	MGP_C57BL6NJ_G0016897	Atp2b4	1:142445343-142446172	7.7167702	12.986709	0.16456817	52.275381	0.16456817	40992.714	0.20182489
1	143397761	143397950	MGP_C57BL6NJ_G0016897	Atp2b4	1:143397761-143397950	3.7658	13.403406	0.12078216	53.952711	0.12078216	993314.29	0.17365881
