Ensembl ID	Gene Name	chr	TSS	#Enhancer	Avg_EnhancerActivity	Avg_EnhancerContact	Avg_EnhancerDistance	Failure
MGP_CASTEiJ_G0016032	Dpt	1	168101177	4	4.46584	33.0739	6625.75	-
MGP_CASTEiJ_G0015872	Shisa4	1	137034258,137032464,137034098	4	6.12065	32.1709	18125.7	-
MGP_CASTEiJ_G0016285	Atf3	1	196161693,196199563,196161461	1	17.0469	0.451076	159932	-
MGP_CASTEiJ_G0014404	Gm26788	1	32209102,32209277	8	6.49126	11.9548	160292	-
MGP_CASTEiJ_G0004878	Gm16548	1	167422389	9	10.5793	5.92408	245801	-
MGP_CASTEiJ_G0015296	Mrpl30	1	36110196,36110251,36110252,36110262,36112653,36113655,36116971	4	8.02493	35.1678	14558.4	-
MGP_CASTEiJ_G0016094	Ndufs2	1	174771671,174784128,174773698,174784128,174784128,174776231,174789940,174790077	9	4.83154	29.0541	13209.4	-
MGP_CASTEiJ_G0015906	Kcnt2	1	142477353,142477390,142477402,142698283,142698448,142771431	5	6.3166	8.31407	278114	-
MGP_CASTEiJ_G0015818	Klhdc8a	1	133731787	6	5.68569	30.4106	35431.5	-
MGP_CASTEiJ_G0015842	Atp2b4	1	135343358,135295756,135295756,135295690,135295290,135255029,135343353	10	3.24087	24.0344	31631.7	-
MGP_CASTEiJ_G0015438	Ndufs1	1	62267289,62301142,62270065,62269740,62301052,62300983,62275419,62300989,62300987,62301010,62300986,62301113,62301153	4	6.10874	55.9917	13889.1	-
MGP_CASTEiJ_G0015207	Stau2	1	13971068,13970990,13970990,13971068,13971833,13970956,13824623,13971002,13971015,13932304,13971032,13971801,13971022,13971742,13971741	4	10.8478	23.0382	239931	-
MGP_CASTEiJ_G0002640	Gm15851	1	135458583	14	4.05562	24.3276	43883.9	-
MGP_CASTEiJ_G0015666	Ndufa10	1	92917156,92917056,92904035,92906305,92914166,92914366,92917046,92917066	4	6.13389	30.8592	17445.2	-
MGP_CASTEiJ_G0015433	Icos	1	60009151,60015006	9	4.29204	9.50243	108045	-
MGP_CASTEiJ_G0015661	Per2	1	91881808,91872405	3	6.99811	34.8159	9608.83	-
MGP_CASTEiJ_G0015734	Serpinb8	1	108301087,108301087,108301127,108317717	7	13.5055	10.7226	224048	-
MGP_CASTEiJ_G0015703	Fam174a	1	95875726,95875731,95875870	3	15.227	23.8625	490093	-
MGP_CASTEiJ_G0016012	Fmo2	1	166146008,166132529,166145961,166126465,166145780,166146022,166146016	9	3.98957	28.5216	13655.7	-
MGP_CASTEiJ_G0016273	Ptpn14	1	194599202,194599209,194658572,194658608,194719300,194736697	12	5.05077	17.2375	63032.9	-
MGP_CASTEiJ_G0002675	Gm16587	1	167416807	8	9.29651	7.55193	162975	-
MGP_CASTEiJ_G0015421	Nop58	1	58625740,58625746,58625754,58625772,58625775,58625778,58625790,58625823,58630934,58633200,58637635,58640017,58645687,58645726,58646237	4	6.30172	20.2748	26943.9	-
MGP_CASTEiJ_G0016091	Tomm40l	1	174758813,174758747,174758483,174758750,174758759,174758743,174758731,174758795	4	6.73	38.4375	9156.5	-
MGP_CASTEiJ_G0016044	Cd247	1	169099863,169099863,169099863,169099871,169099905,169099947,169099947,169170756,169177752	7	4.73085	15.4643	52736.7	-
MGP_CASTEiJ_G0016198	Efcab2	1	182571630,182571648,182621303	3	8.20315	26.4796	34521.4	-
MGP_CASTEiJ_G0016122	Pex19	1	175787624,175787625,175787631,175787642,175787642,175795381	3	11.6152	25.3244	22644.9	-
MGP_CASTEiJ_G0015451	Fzd5	1	63926694,63926692	4	6.42289	36.0013	17744.2	-
MGP_CASTEiJ_G0015327	Mrps9	1	41449212,41449214,41449214,41449223,41461697,41486646,41501959	3	6.14464	30.3031	16920.8	-
MGP_CASTEiJ_G0016095	Adamts4	1	174789110,174790805	9	5.69143	35.0835	31952.8	-
MGP_CASTEiJ_G0015871	Lmod1	1	136984123,136984385	3	6.38642	29.682	20684.3	-
MGP_CASTEiJ_G0015331	Fhl2	1	41776560,41811311,41811085	11	3.35965	20.5947	18309.1	-
MGP_CASTEiJ_G0015548	Epha4	1	77250640,77250631,77250640,77110279,77250631,77250637,77250635	5	11.737	19.9935	90346	-
MGP_CASTEiJ_G0016209	Coq8a	1	184473833,184471409,184473956,184473874,184455752,184473917,184473897,184459205,184456041,184473897,184471407,184474011,184459908,184473908,184471586,184473908,184477504,184473838	8	4.53295	29.6681	16286.6	-
MGP_CASTEiJ_G0016069	Ddr2	1	173573906,173549044,173573846,173574074,173574107,173559921	8	6.41853	12.0515	52801.1	-
MGP_CASTEiJ_G0016059	Mgst3	1	170760356	6	6.65433	31.6785	23264.3	-
MGP_CASTEiJ_G0015845	Fmod	1	135595111,135595353	10	4.78404	17.1685	43067.5	-
MGP_CASTEiJ_G0015682	Kif1a	1	93599348,93599357,93599477,93599373,93580085,93518054,93520565,93599372,93547261,93564842,93599360	7	5.29347	18.6986	70039.6	-
MGP_CASTEiJ_G0016268	Esrrg	1	192346371,192346610,192347285,192778543,192778584	5	4.39873	18.3449	261049	-
MGP_CASTEiJ_G0016099	Ufc1	1	174839905,174834826,174839822,174839868,174839821	5	9.86423	29.4179	64828.5	-
MGP_CASTEiJ_G0015879	Tnnt2	1	137517728,137517760,137517764,137517764,137517776,137517784,137517787,137522070,137522228,137522246,137522246,137522246,137522246,137522246,137530782	12	2.82148	28.3683	11979.8	-
MGP_CASTEiJ_G0015993	Dars2	1	164237148,164237132,164209908,164237146,164237097,164227604,164237120	3	9.90748	23.5554	34464.5	-
MGP_CASTEiJ_G0015190	Sulf1	1	10060131,10060177,10060386,10088226,10088296,10089230,10097813,10158174,10208275,10216579	12	4.26695	13.9427	67039.9	-
MGP_CASTEiJ_G0016023	Sele	1	167310959	2	6.88254	34.1779	34347.5	-
MGP_CASTEiJ_G0016088	Mpz	1	174685017,174689779,174693873,174693982	5	5.80834	29.4162	12944.5	-
MGP_CASTEiJ_G0016252	Hlx	1	189281817,189279681	7	3.88394	34.1006	14855.8	-
MGP_CASTEiJ_G0016025	Selp	1	167382904,167411821,167412379,167415200,167417063	6	6.87267	11.5741	117450	-
MGP_CASTEiJ_G0015398	Aox3	1	56969055,56969061,56969063,56969111,57024516	5	8.78486	7.30701	304137	-
MGP_CASTEiJ_G0002644	Gm26642	1	136899825	9	5.71159	8.18827	118914	-
MGP_CASTEiJ_G0015924	Hmcn1	1	153548581,153548581,153110237,153091215,153107648,153548965	5	4.62722	20.9707	229604	-
MGP_CASTEiJ_G0015781	Cxcr4	1	129843088,129843085,129843088	3	3.81447	33.6405	8455	-
MGP_CASTEiJ_G0015179	Vcpip1	1	7050270	2	12.879	34.5092	24931.5	-
MGP_CASTEiJ_G0015919	Ptgs2	1	152643515,152643816	4	5.19214	24.3402	76411.6	-
MGP_CASTEiJ_G0015678	Rnpepl1	1	93394653,93394695,93394723,93394835,93395018,93395106,93399638,93400585,93400599,93400806,93400941,93401210,93403408	5	5.96812	42.0513	8515.69	-
MGP_CASTEiJ_G0015643	Asb18	1	90337344,90356201,90356290,90356201,90356201	3	4.92204	39.4217	9830.27	-
MGP_CASTEiJ_G0016237	Trp53bp2	1	186867170,186867304,186901969,186904646	3	6.65692	32.5279	17813.2	-
MGP_CASTEiJ_G0015857	Klhl12	1	136034391,136034391,136034391,136034415,136054167,136060618	2	11.0427	36.7508	22799.7	-
MGP_CASTEiJ_G0015677	Dusp28	1	93390881	5	3.49897	40.4809	28799	-
MGP_CASTEiJ_G0016035	Sft2d2	1	168509126,168509009,168509005	2	8.67288	26.1744	9862.17	-
MGP_CASTEiJ_G0015767	Lypd1	1	127035256,127034429,127035970,127033957,127036143	4	9.84116	14.1598	454197	-
MGP_CASTEiJ_G0015560	Mrpl44	1	79581957,79582055	3	10.0683	29.9109	14681	-
MGP_CASTEiJ_G0015359	Gls	1	50954616,50953686,50911731,50888964,50889134,50911732,50954625,50919545,50932737,50911731,50916409,50936953,50919437,50936953,50935892,50937302,50954192	4	16.0848	8.2522	413434	-
MGP_CASTEiJ_G0015364	Hibch	1	51582893,51583008,51583010,51589796,51603970,51639295	4	8.11355	17.8752	53469.3	-
MGP_CASTEiJ_G0016046	Dusp27	1	169446413,169446387	6	5.46925	28.1655	154116	-
MGP_CASTEiJ_G0015579	Pid1	1	84298863,84353111,84066147,84298641,84377246,84355874,84298829,84298841	9	4.99324	17.1336	82899	-
MGP_CASTEiJ_G0015412	Stradb	1	57844566,57844566,57844566,57844566,57844566,57844566,57863599	5	4.31597	27.8755	25566.4	-
MGP_CASTEiJ_G0016039	Mpc2	1	168769665,168770065,168770252,168770393,168791055	1	8.28155	38.454	4090.8	-
MGP_CASTEiJ_G0015884	Cacna1s	1	137747863,137747897,137748014,137770386,137805133,137816975	9	7.19177	11.6691	362058	-
MGP_CASTEiJ_G0015572	Mff	1	82677751,82677767,82677795,82677796,82677802,82677811,82677817,82677825,82682118,82682161,82682215,82682215,82688334,82694524,82694863,82699796,82701247	1	18.2719	40.2552	5962.35	-
MGP_CASTEiJ_G0015469	Acadl	1	66114527,66109644	5	5.64394	16.5853	25777.1	-
MGP_CASTEiJ_G0015191	Slco5a1	1	10374683,10373293,10303687,10373293	7	6.71864	17.326	49218.9	-
MGP_CASTEiJ_G0015686	Sned1	1	93733341,93733351,93773444,93781753,93787354,93798469	4	5.35013	22.6358	32242.1	-
MGP_CASTEiJ_G0016087	Sdhc	1	174684913,174684897	6	5.70317	28.6236	19067.3	-
MGP_CASTEiJ_G0015246	Ptp4a1	1	28865039,28859560,28864579,28864856	2	8.06392	31.2741	19808.8	-
