"seqnames"	"start"	"end"	"width"	"strand"	"Conc"	"Conc_control"	"Conc_treated"	"Fold"	"p.value"	"FDR"	"BL615"	"BL616"	"BL617"	"BL618"	"BL611"	"BL612"	"BL613"	"BL614"
"1"	"X"	173075121	173075271	151	"*"	4.51373010844104	3.99159086312398	4.89629939486879	-0.124304498208708	0.00105179321668617	0.999980205328981	16.51	14.9	15.9	16.32	30.3	33.15	27.84	27.83
"2"	"11"	8923428	8923578	151	"*"	1.13246369787048	2.04506998726995	0	0.0114198268629697	0.00234195464967384	0.999980205328981	2.91	4.97	6.82	1.81	0	0	0	1.03
"3"	"X"	173069493	173069643	151	"*"	4.78432803992737	4.32838395410817	5.13025467570536	-0.0780584705294094	0.00240002625308314	0.999980205328981	25.25	20.85	12.5	21.76	31.25	45.46	34.52	28.86
"4"	"18"	5542431	5542581	151	"*"	1.02512784350828	0	1.94246790362606	-0.0105478928683503	0.00321829845983965	0.999980205328981	0	0	0	0.91	2.84	1.89	4.45	6.19
"5"	"7"	42666738	42666888	151	"*"	3.15866357939498	3.68409101556981	2.3238102548433	0.0430419502234277	0.0034989896577868	0.999980205328981	10.68	11.92	12.5	16.32	3.79	6.63	4.45	5.15
"6"	"1"	118706924	118707074	151	"*"	0.432686887814243	1.43268688781424	0	0.00852992516945485	0.00474660541120973	0.999980205328981	2.91	1.99	2.27	3.63	0	0	0	0
"7"	"LVXM01047500.1"	1235	1385	151	"*"	1.93503208617003	0.36867213874718	2.66824821144956	-0.0172882116105242	0.00477404895683574	0.999980205328981	0	1.99	2.27	0.91	4.73	7.58	10.02	3.09
"8"	"3"	15848030	15848180	151	"*"	1.45486277951932	2.32455685043702	0	0.00988264411399425	0.00578325124075561	0.999980205328981	3.88	2.98	11.36	1.81	0.95	0.95	0	0
"9"	"LVXM01046202.1"	602	752	151	"*"	3.08212177965451	3.63996423141365	2.16055099918745	0.0294041728566269	0.00599665472791384	0.999980205328981	8.74	10.92	23.85	6.35	4.73	3.79	1.11	8.25
"10"	"6"	64007680	64007830	151	"*"	1.56120359780013	2.35870362525462	0	0.0120655433949435	0.00622692990430406	0.999980205328981	5.83	1.99	4.54	8.16	0	0.95	1.11	1.03
"11"	"15"	72000188	72000338	151	"*"	0.923490791172694	1.83050467433373	0	0.00868711709134344	0.00636119844994235	0.999980205328981	5.83	0	5.68	2.72	0	0.95	0	0
"12"	"6"	131156291	131156441	151	"*"	2.68853813884342	3.26717219815573	1.70735858877349	0.0255882880705663	0.00663201376738628	0.999980205328981	9.71	4.97	14.77	9.07	2.84	3.79	3.34	3.09
"13"	"1"	29720551	29720701	151	"*"	0.836039080436231	0	1.71646417112397	-0.00881036829646105	0.00672807317226898	0.999980205328981	0	0	1.14	0	2.84	3.79	4.45	2.06
"14"	"7"	45140853	45141003	151	"*"	1.88866224700958	2.60315258040584	0.411106037997901	0.0153681207524353	0.00692024235983776	0.999980205328981	6.8	2.98	9.09	5.44	0	0.95	3.34	1.03
