Ensembl ID	Gene Name	chr	TSS	#Enhancer	Avg_EnhancerActivity	Avg_EnhancerContact	Avg_EnhancerDistance	Failure
MGP_C57BL6NJ_G0017089	Dpt	1	175956031	4	7.18583	29.0076	10863.5	-
MGP_C57BL6NJ_G0016835	Cxcr4	1	136804415,136804418	2	5.75205	39.5821	13181.8	-
MGP_C57BL6NJ_G0016231	Slco5a1	1	10849283,10848601,10849241,10780556,10849283	3	5.50682	35.2673	16413	-
MGP_C57BL6NJ_G0017151	Ndufs2	1	182899802,182912956,182901790,182912956,182912956,182904317,182918808,182918945	8	5.75896	27.6736	12888	-
MGP_C57BL6NJ_G0017118	Rxrg	1	178958441	6	8.41085	18.703	66144	-
MGP_C57BL6NJ_G0016897	Atp2b4	1	142445684,142395931,142395931,142395865,142395465,142356579,142445679	8	5.29119	13.9038	162266	-
MGP_C57BL6NJ_G0017258	Smyd3	1	191893263,191610193,191744801,191338904,191775981,191893270,191893234	2	6.35479	25.5974	276753	-
MGP_C57BL6NJ_G0017266	Coq8a	1	192631264,192633799,192633717,192616420,192633760,192633740,192619886,192616711,192633740,192631262,192633854,192620589,192633751,192631441,192633751,192638402,192633681	7	6.22708	29.1299	19964.8	-
MGP_C57BL6NJ_G0017152	Adamts4	1	182917978,182919673	8	7.56198	31.2768	44383.5	-
MGP_C57BL6NJ_G0017092	Sft2d2	1	176390487,176390370,176390366	4	5.28574	48.0592	27860.9	-
MGP_C57BL6NJ_G0017022	Tor1aip2	1	166530259,166530582,166530628,166530989,166535472,166535472,166535499,166535499,166557780	2	6.30597	54.0415	4605.44	-
MGP_C57BL6NJ_G0017115	Aldh9a1	1	178703464,178703709,178703785,178720779	4	9.84826	32.1911	12726.8	-
MGP_C57BL6NJ_G0016807	Dbi	1	127586991,127587055,127586208,127586975,127587085,127587052	6	5.07768	29.5344	15628.4	-
MGP_C57BL6NJ_G0016364	Tmem182	1	41283903	4	6.37942	30.5509	7972.25	-
MGP_C57BL6NJ_G0016460	Nop58	1	62016228,62016234,62016242,62016260,62016263,62016266,62016278,62016311,62021436,62023701,62028475,62030864,62036607,62036646,62037157	2	10.6899	27.0385	14282.8	-
MGP_C57BL6NJ_G0016926	Lmod1	1	144109671	4	8.36433	15.3587	44963.5	-
MGP_C57BL6NJ_G0016437	Aox3	1	60318949,60318955,60318957,60319005,60375948	3	7.06662	41.76	44241.7	-
MGP_C57BL6NJ_G0017082	Selp	1	175232081,175259804,175260363,175263188,175265199	6	8.07261	16.9414	102183	-
MGP_C57BL6NJ_G0017096	Mpc2	1	176680316,176680716,176680903,176681044,176698904	3	8.07079	14.9242	393358	-
MGP_C57BL6NJ_G0017080	Sele	1	175163461	4	9.60944	15.2487	226026	-
MGP_C57BL6NJ_G0016507	Acadl	1	69711361,69706415	3	8.06724	21.3026	129210	-
MGP_C57BL6NJ_G0016951	Nek7	1	147601524,147662434	6	5.75505	18.9162	33011.3	-
MGP_C57BL6NJ_G0002887	Gm16587	1	175264802	4	4.33957	28.9522	63469	-
MGP_C57BL6NJ_G0016706	Per2	1	96563842,96554385	4	7.86505	29.786	13281.6	-
MGP_C57BL6NJ_G0015483	Gm26788	1	34038777,34038952	8	5.07807	19.4688	46276.2	-
MGP_C57BL6NJ_G0016976	Ptgs2	1	160079479,160079780	7	5.21625	11.8011	150975	-
MGP_C57BL6NJ_G0016729	Kif1a	1	98309461,98309470,98309590,98309486,98288747,98225690,98228187,98309485,98259531,98275084,98309473	6	4.74987	9.07155	76623.1	-
MGP_C57BL6NJ_G0017256	Efcab2	1	190711094,190711112,190757846	3	7.4244	30.1304	31860.7	-
MGP_C57BL6NJ_G0016330	Mgat4a	1	37750418,37754991,37707542,37707504,37710247,37750265	6	5.41733	23.0877	26098.1	-
MGP_C57BL6NJ_G0016609	Mff	1	86872469,86872497,86872498,86872504,86872513,86872514,86872519,86872527,86876807,86876850,86876904,86876904,86883048,86889217,86889556,86894501,86895959	2	14.4033	29.1455	31874.3	-
MGP_C57BL6NJ_G0005121	Gm5532	1	165980958,165980990	2	4.15838	65.6651	353.5	-
MGP_C57BL6NJ_G0016586	Epha4	1	81213081,81213072,81213081,81065503,81213072,81213078,81213076	8	4.76571	13.6485	241520	-
MGP_C57BL6NJ_G0002856	Gm26642	1	144027849	6	6.61938	16.4277	76728.8	-
MGP_C57BL6NJ_G0017145	Mpz	1	182810964,182815760,182819839,182819948	4	10.2821	25.3328	56769.6	-
MGP_C57BL6NJ_G0017039	Pappa2	1	169689403,169535639,169571160,169564926,169692910,169713019	9	5.18686	8.02548	159557	-
MGP_C57BL6NJ_G0016688	Asb18	1	95025747,95025730,95025641,95025641	4	3.74699	23.8804	20179.1	-
MGP_C57BL6NJ_G0016321	Cox5b	1	36827769,36827913,36827927	2	8.7324	64.2483	3459.33	-
