#chr	start	end	Ensembl ID	Gene Name	PeakID	signalValue	Contact	adaptedActivity	scaledContact	intergenicScore	TSS-dist	ABC-Score
1	168088683	168088981	MGP_CASTEiJ_G0016032	Dpt	1:168088683-168088981	4.3011899	15.903019	0.15182737	34.531912	0.15182737	12196	0.037757082
1	168101143	168101440	MGP_CASTEiJ_G0016032	Dpt	1:168101143-168101440	4.0022001	46.053108	0.4104175	100	0.4104175	0	0.29556541
1	168102767	168103508	MGP_CASTEiJ_G0016032	Dpt	1:168102767-168103508	6.48771	46.053108	0.66530149	100	0.66530149	1591	0.47912214
1	168113892	168114253	MGP_CASTEiJ_G0016032	Dpt	1:168113892-168114253	3.0722799	24.286419	0.16190432	52.735678	0.16190432	12716	0.06148805
1	136970829	136971621	MGP_CASTEiJ_G0015872	Shisa4	1:136970829-136971621	11.42515	8.4760387	0.13770518	20.846619	0.13770518	61985.667	0.032065802
1	137027198	137027656	MGP_CASTEiJ_G0015872	Shisa4	1:137027198-137027656	5.03052	38.889419	0.31025172	95.647617	0.31025172	5950.6667	0.33147025
1	137034002	137034515	MGP_CASTEiJ_G0015872	Shisa4	1:137034002-137034515	3.6613901	40.659057	0.21231656	100	0.21231656	513	0.23715925
1	137037659	137038060	MGP_CASTEiJ_G0015872	Shisa4	1:137037659-137038060	4.36553	40.659057	0.2093751	100	0.2093751	4053.3333	0.23387362
1	196013831	196014307	MGP_CASTEiJ_G0016285	Atf3	1:196013831-196014307	17.04694	0.45107627	0.074254871	100	0.074254871	159932	0.025468529
1	31275864	31276154	MGP_CASTEiJ_G0014404	Gm26788	1:31275864-31276154	23.349291	3.3650785	0.32891266	11.708778	0.32891266	933035.5	0.044009861
1	32066880	32067129	MGP_CASTEiJ_G0014404	Gm26788	1:32066880-32067129	2.9493799	14.238453	0.091007032	49.542644	0.091007032	142060.5	0.051524285
1	32171296	32172180	MGP_CASTEiJ_G0014404	Gm26788	1:32171296-32172180	3.4747901	7.9476306	0.087297446	27.653752	0.087297446	37009.5	0.027587569
1	32187054	32187240	MGP_CASTEiJ_G0014404	Gm26788	1:32187054-32187240	2.7035999	17.878992	0.090471155	62.209887	0.090471155	21949.5	0.064317238
1	32198097	32198918	MGP_CASTEiJ_G0014404	Gm26788	1:32198097-32198918	5.5810499	28.739792	0.32987827	100	0.32987827	10271.5	0.37697413
1	32220929	32221124	MGP_CASTEiJ_G0014404	Gm26788	1:32220929-32221124	2.8448701	11.024516	0.095737231	38.359763	0.095737231	11740.5	0.041967646
1	32267374	32267916	MGP_CASTEiJ_G0014404	Gm26788	1:32267374-32267916	5.83255	6.4709075	0.08970063	22.515499	0.08970063	58185.5	0.023079952
1	32277274	32278093	MGP_CASTEiJ_G0014404	Gm26788	1:32277274-32278093	5.19451	5.9728067	0.084269045	20.782359	0.084269045	68085.5	0.020013394
1	166907197	166907395	MGP_CASTEiJ_G0004878	Gm16548	1:166907197-166907395	20.89147	1.4099346	0.12534345	11.788154	0.12534345	514994	0.029965381
1	167028901	167029639	MGP_CASTEiJ_G0004878	Gm16548	1:167028901-167029639	21.27458	1.9710382	0.11438215	16.479417	0.11438215	392750	0.0382272
1	167389309	167389503	MGP_CASTEiJ_G0004878	Gm16548	1:167389309-167389503	2.4578199	7.7334926	0.047471564	64.658032	0.047471564	32886	0.062248429
1	167409696	167409991	MGP_CASTEiJ_G0004878	Gm16548	1:167409696-167409991	3.1951699	11.960606	0.077080069	100	0.077080069	12398	0.15631997
1	167517264	167518460	MGP_CASTEiJ_G0004878	Gm16548	1:167517264-167518460	9.32409	4.9196603	0.086932224	41.132198	0.086932224	94876	0.072516208
1	167552571	167553150	MGP_CASTEiJ_G0004878	Gm16548	1:167552571-167553150	9.7083902	5.8416803	0.11846921	48.841005	0.11846921	130183	0.11734443
1	167586299	167587186	MGP_CASTEiJ_G0004878	Gm16548	1:167586299-167587186	11.88066	7.9410293	0.095425197	66.3932	0.095425197	163911	0.12848696
